         9620750 function calls (9614936 primitive calls) in 4.741 seconds

   Ordered by: cumulative time
   List reduced from 311 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.055    0.055    4.752    4.752 profile_backend.py:51(<lambda>)
        1    0.001    0.001    4.697    4.697 app.py:191(_calculate_snapshot)
        1    0.000    0.000    4.642    4.642 facade.py:68(snapshot_at)
        1    0.000    0.000    4.628    4.628 model.py:226(analyze)
      147    0.003    0.000    4.618    0.031 model.py:260(_analyze_client)
        1    0.002    0.002    4.483    4.483 model.py:336(_failure_impacts)
      573    0.000    0.000    3.893    0.007 model.py:294(<genexpr>)
      441    0.003    0.000    3.892    0.009 model.py:393(_select_route)
      147    0.057    0.000    3.771    0.026 routing.py:149(select_path)
     7339    0.488    0.000    3.390    0.000 networkx_engine.py:81(shortest_path)
     8507    0.009    0.000    2.524    0.000 networkx_engine.py:30(_graph)
     3715    0.680    0.000    2.507    0.001 networkx_engine.py:182(_query_graph)
   596201    0.747    0.000    1.128    0.000 digraph.py:677(add_edge)
      147    0.030    0.000    0.660    0.004 networkx_engine.py:129(satellite_connectivity)
8089/5075    0.009    0.000    0.648    0.000 backends.py:541(_call_if_no_backends_installed)
   178240    0.492    0.000    0.572    0.000 digraph.py:450(add_node)
      147    0.001    0.000    0.537    0.004 <class 'networkx.utils.decorators.argmap'> compilation 20:1(argmap_minimum_cut_17)
      147    0.012    0.000    0.535    0.004 maxflow.py:311(minimum_cut)
      147    0.000    0.000    0.436    0.003 <class 'networkx.utils.decorators.argmap'> compilation 24:1(argmap_edmonds_karp_21)
      147    0.000    0.000    0.435    0.003 edmondskarp.py:120(edmonds_karp)
      147    0.018    0.000    0.435    0.003 edmondskarp.py:94(edmonds_karp_impl)
      147    0.000    0.000    0.356    0.002 <class 'networkx.utils.decorators.argmap'> compilation 28:1(argmap_build_residual_network_25)
      147    0.049    0.000    0.355    0.002 utils.py:80(build_residual_network)
     6865    0.263    0.000    0.293    0.000 routing.py:34(_path_metrics)
   775029    0.158    0.000    0.234    0.000 misc.py:645(_clear_cache)
   275797    0.077    0.000    0.206    0.000 graph.py:509(__getitem__)
   848754    0.158    0.000    0.158    0.000 {method 'update' of 'dict' objects}
      874    0.004    0.000    0.150    0.000 networkx_engine.py:48(reachable_targets)
  1041451    0.150    0.000    0.150    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.144    0.036 model.py:227(<genexpr>)
      294    0.001    0.000    0.133    0.000 reportviews.py:1102(__call__)
      294    0.133    0.000    0.133    0.000 reportviews.py:771(__init__)
   280597    0.099    0.000    0.122    0.000 coreviews.py:81(__getitem__)
     1066    0.002    0.000    0.107    0.000 <class 'networkx.utils.decorators.argmap'> compilation 8:1(argmap_descendants_5)
     1066    0.009    0.000    0.104    0.000 dag.py:38(descendants)
    46845    0.011    0.000    0.094    0.000 breadth_first_search.py:108(bfs_edges)
   518478    0.084    0.000    0.084    0.000 networkx_engine.py:196(can_depart)
    46845    0.046    0.000    0.081    0.000 breadth_first_search.py:19(generic_bfs_edges)
   775309    0.076    0.000    0.076    0.000 {built-in method builtins.getattr}
   581077    0.076    0.000    0.076    0.000 graph.py:473(__contains__)
   515091    0.071    0.000    0.071    0.000 networkx_engine.py:199(can_arrive)
      142    0.000    0.000    0.061    0.000 routing.py:284(_any_path)
66199/66055    0.033    0.000    0.056    0.000 {built-in method builtins.sorted}
      294    0.003    0.000    0.054    0.000 routing.py:48(select_path)
   111644    0.036    0.000    0.050    0.000 digraph.py:912(successors)
        1    0.000    0.000    0.048    0.048 query_adapters.py:22(snapshot_bundle_to_dto)
      147    0.031    0.000    0.047    0.000 digraph.py:748(add_edges_from)
        1    0.000    0.000    0.046    0.046 adapters.py:403(static_analysis_to_dto)
       48    0.001    0.000    0.044    0.001 adapters.py:354(_impact_to_dto)
   327041    0.039    0.000    0.039    0.000 coreviews.py:53(__getitem__)


